10,23,29,33,37,40
16,23,29,33,37,40
10,16,29,33,37,40
10,23,16,33,37,40
10,23,29,16,37,40
10,23,29,33,16,40
10,23,29,33,37,16
9,13,21,25,32,42
2,13,21,25,32,42
9,2,21,25,32,42
9,13,2,25,32,42
9,13,21,2,32,42
9,13,21,25,2,42
9,13,21,25,32,2
11,16,19,21,27,31
30,16,19,21,27,31
11,30,19,21,27,31
11,16,30,21,27,31
11,16,19,30,27,31
11,16,19,21,30,31
11,16,19,21,27,30
14,27,30,31,40,42
2,27,30,31,40,42
14,2,30,31,40,42
14,27,2,31,40,42
14,27,30,2,40,42
14,27,30,31,2,42
14,27,30,31,40,2
16,24,29,40,41,42
3,24,29,40,41,42
16,3,29,40,41,42
16,24,3,40,41,42
16,24,29,3,41,42
16,24,29,40,3,42
16,24,29,40,41,3
14,15,26,27,40,42
34,15,26,27,40,42
14,34,26,27,40,42
14,15,34,27,40,42
14,15,26,34,40,42
14,15,26,27,34,42
14,15,26,27,40,34
2,9,16,25,26,40
42,9,16,25,26,40
2,42,16,25,26,40
2,9,42,25,26,40
2,9,16,42,26,40
2,9,16,25,42,40
2,9,16,25,26,42
8,19,25,34,37,39
9,19,25,34,37,39
8,9,25,34,37,39
8,19,9,34,37,39
8,19,25,9,37,39
8,19,25,34,9,39
8,19,25,34,37,9
2,4,16,17,36,39
14,4,16,17,36,39
2,14,16,17,36,39
2,4,14,17,36,39
2,4,16,14,36,39
2,4,16,17,14,39
2,4,16,17,36,14
9,25,30,33,41,44
6,25,30,33,41,44
9,6,30,33,41,44
9,25,6,33,41,44
9,25,30,6,41,44
9,25,30,33,6,44
9,25,30,33,41,6
1,7,36,37,41,42
14,7,36,37,41,42
1,14,36,37,41,42
1,7,14,37,41,42
1,7,36,14,41,42
1,7,36,37,14,42
1,7,36,37,41,14
2,11,21,25,39,45
44,11,21,25,39,45
2,44,21,25,39,45
2,11,44,25,39,45
2,11,21,44,39,45
2,11,21,25,44,45
2,11,21,25,39,44
22,23,25,37,38,42
26,23,25,37,38,42
22,26,25,37,38,42
22,23,26,37,38,42
22,23,25,26,38,42
22,23,25,37,26,42
